Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1706509848,910,,Aggregated,78.700000,22.200000,3500,5100,6100,7400,10000,12000,15000,16000,16000,16000,16000,5289,652,3500.0,4281.1157551801925,1.1892689999513095,16040.167555000153,19853.877670637172
1706509849,920,,Aggregated,77.900000,21.700000,3500,5200,6100,7500,10000,13000,15000,16000,16000,16000,16000,5374,678,3500.0,4331.706890736331,1.1892689999513095,16225.15007400034,19801.37402307406
1706509850,930,,Aggregated,81.100000,24.700000,3500,5200,6200,7500,10000,13000,16000,16000,16000,16000,16000,5468,713,3500.0,4374.162463472389,1.1892689999513095,16295.591544000672,19669.833577176298
1706509851,940,,Aggregated,82.300000,26.400000,3500,5200,6200,7500,10000,13000,16000,16000,16000,16000,16000,5575,763,3500.0,4397.17377193023,1.1892689999513095,16471.52816000016,19509.758923766814
1706509852,950,,Aggregated,84.500000,27.400000,3600,5200,6300,7600,11000,13000,16000,16000,16000,17000,17000,5666,789,3600.0,4448.638646213911,1.1892689999513095,16516.765941999438,19407.842746205435
1706509853,960,,Aggregated,85.800000,28.700000,3600,5300,6400,7700,11000,14000,16000,16000,17000,17000,17000,5774,834,3600.0,4482.876517992033,1.1892689999513095,16618.558952000058,19277.409767925183
1706509854,970,,Aggregated,86.600000,30.000000,3600,5400,6600,7900,11000,14000,16000,16000,17000,17000,17000,5860,862,3600.0,4533.0506230604105,1.1892689999513095,16670.515089999753,19148.529010238908
1706509855,980,,Aggregated,90.200000,33.500000,3700,5400,6700,7900,11000,14000,16000,16000,17000,17000,17000,5954,899,3700.0,4561.238680053915,1.1892689999513095,16918.34758299956,19083.23916694659
1706509856,990,,Aggregated,92.400000,34.300000,3700,5400,6800,8000,11000,14000,16000,16000,17000,17000,17000,6051,933,3700.0,4606.279535643039,1.1892689999513095,16918.34758299956,18970.33101966617
1706509857,1000,,Aggregated,91.600000,34.500000,3700,5400,6800,8100,11000,14000,16000,17000,17000,17000,17000,6168,993,3700.0,4616.431746929153,1.1892689999513095,16918.34758299956,18804.83722438392
1706509858,1000,,Aggregated,92.100000,34.700000,3700,5400,6800,8100,11000,14000,16000,17000,17000,17000,17000,6275,1047,3700.0,4633.608543759682,1.1892689999513095,16918.34758299956,18661.581354581675
1706509859,1000,,Aggregated,96.500000,37.800000,3700,5500,6800,8200,11000,15000,16000,17000,17000,17000,17000,6370,1092,3700.0,4647.95418624176,1.1892689999513095,16927.06787000043,18601.6715855573
1706509860,1000,,Aggregated,97.300000,38.400000,3700,5500,6900,8400,11000,15000,16000,17000,17000,17000,17000,6459,1116,3700.0,4697.22313688915,1.1892689999513095,16985.264079000444,18523.180213655363
1706509861,1000,,Aggregated,98.800000,40.500000,3800,5500,7000,8600,11000,15000,16000,17000,17000,17000,17000,6555,1148,3800.0,4731.396231539594,1.1892689999513095,17063.162067999656,18449.478108314262
1706509862,1000,,Aggregated,98.300000,40.300000,3800,5500,7000,8600,11000,15000,17000,17000,17000,17000,17000,6657,1196,3800.0,4746.295968801716,1.1892689999513095,17096.312571999988,18400.10124680787
1706509863,1000,,Aggregated,97.900000,38.800000,3800,5500,7000,8700,11000,15000,17000,17000,17000,17000,17000,6740,1220,3800.0,4798.030458047482,1.1892689999513095,17122.711617000277,18300.33694362018
1706509864,1000,,Aggregated,99.100000,40.100000,3900,5500,7100,8900,11000,15000,17000,17000,17000,17000,17000,6830,1251,3900.0,4832.29075224539,1.1892689999513095,17122.711617000277,18197.27188872621
1706509865,1000,,Aggregated,97.400000,39.200000,3900,5600,7300,9000,11000,15000,17000,17000,17000,17000,17000,6923,1290,3900.0,4861.247502185907,1.1892689999513095,17209.319958999913,18110.38321536906
1706509866,1000,,Aggregated,95.900000,38.300000,3900,5600,7300,9100,11000,16000,17000,17000,17000,17000,17000,7009,1324,3900.0,4884.439760768874,1.1892689999513095,17316.36866699955,18040.99757454701
1706509867,1000,,Aggregated,97.100000,39.100000,4000,5600,7300,9300,11000,16000,17000,17000,17000,17000,17000,7106,1357,4000.0,4916.075047442586,1.1892689999513095,17316.36866699955,17973.404446946242
1706509868,1000,,Aggregated,96.000000,38.800000,4000,5700,7400,9600,11000,16000,17000,17000,17000,17000,17000,7185,1374,4000.0,4959.4047664755735,1.1892689999513095,17336.771825999676,17934.356854558107
1706509869,1000,,Aggregated,93.900000,36.800000,4200,5700,7500,9700,12000,16000,17000,17000,17000,17000,17000,7271,1393,4200.0,5011.918636163109,1.1892689999513095,17391.265901000224,17868.901389079907
1706509870,1000,,Aggregated,91.200000,33.900000,4200,5700,7500,9800,12000,16000,17000,17000,17000,17000,17000,7363,1426,4200.0,5049.350498138932,1.1892689999513095,17430.734862000463,17763.557245687898
1706509871,1000,,Aggregated,90.300000,31.000000,4300,5800,7500,9800,12000,16000,17000,17000,18000,18000,18000,7446,1446,4300.0,5095.856315791691,1.1892689999513095,17601.560217000042,17705.51128122482
